nbOpes,type,size
140000,ls,22056310
140000,content,119996
140000,ls,19702380
140000,content,119920
140000,ls,21498688
140000,content,120596
140000,ls,22588746
140000,content,120096
140000,rlsWithoutGC,6972034
140000,rlsWithGC,1204262
140000,content,120194
140000,rlsWithoutGC,6946530
140000,rlsWithGC,1192466
140000,content,119612
140000,rlsWithoutGC,7238646
140000,rlsWithGC,1260510
140000,content,119770
140000,rlsWithoutGC,7300696
140000,rlsWithGC,1151284
140000,content,119892
140000,rlsWithoutGC,7059356
140000,rlsWithGC,1182780
140000,content,119968
150000,ls,20482086
150000,content,120536
150000,ls,22478386
150000,content,120080
150000,ls,22759182
150000,content,119984
150000,ls,20334722
150000,content,119996
150000,ls,22134438
150000,content,120508
150000,ls,23231872
150000,content,119988
150000,rlsWithoutGC,7473514
150000,rlsWithGC,1705742
150000,content,119964
151000,rlsWithoutGC,6572818
151000,rlsWithGC,121522
150000,rlsWithoutGC,7464218
150000,rlsWithGC,1710154
150000,content,119536
151000,rlsWithoutGC,6560358
151000,rlsWithGC,121094
150000,rlsWithoutGC,7763548
150000,rlsWithGC,1785412
150000,content,119686
151000,rlsWithoutGC,6815940
151000,rlsWithGC,121244
150000,rlsWithoutGC,7826960
150000,rlsWithGC,1677548
150000,content,120056
151000,rlsWithoutGC,6940530
151000,rlsWithGC,121614
150000,rlsWithoutGC,7565818
150000,rlsWithGC,1689242
150000,content,120208
151000,rlsWithoutGC,6675904
151000,rlsWithGC,121754
