nbOpes,type,time
104000,remote,501693
104000,local,147663
104000,remote,383202
104000,local,150483
104000,remote,433752
104000,local,198395
104000,remote,395358
104000,local,6607876
104000,remote,372309
104000,local,168043
104000,remote,365818
104000,local,188080
104000,remote,568220
104000,local,163962
104000,remote,345053
104000,local,155079
104000,remote,418280
104000,local,170760
104000,remote,560836
104000,local,172896
104000,remote,225866
104000,local,169343
104000,remote,395264
104000,local,166031
104000,remote,459637
104000,local,151770
104000,remote,433322
104000,local,146641
104000,remote,365425
104000,local,180551
104000,remote,514656
104000,local,141179
104000,remote,377216
104000,local,168702
104000,remote,545495
104000,local,163205
104000,remote,527208
104000,local,161574
104000,remote,367580
104000,local,183661
104000,remote,430801
104000,local,239651
104000,remote,453257
104000,local,181345
104000,remote,437822
104000,local,171719
104000,remote,452328
104000,local,174136
104000,remote,448625
104000,local,145238
104000,remote,320591
104000,local,157583
104000,remote,377763
104000,local,140430
104000,remote,357753
104000,local,187758
104000,remote,412442
104000,local,186986
104000,remote,476405
104000,local,162818
104000,remote,336640
104000,local,177987
104000,remote,461896
104000,local,163324
104000,remote,403581
104000,local,181381
104000,remote,349417
104000,local,1516364
104000,remote,394687
104000,local,168457
104000,remote,379466
104000,local,161217
104000,remote,515735
104000,local,173988
104000,remote,420646
104000,local,174056
104000,remote,427537
104000,local,172139
104000,remote,380094
104000,local,645810
104000,remote,493747
104000,local,172339
104000,remote,406945
104000,local,164286
104000,remote,360477
104000,local,158533
104000,remote,386859
104000,local,159364
104000,remote,363441
104000,local,158412
104000,remote,387187
104000,local,156831
104000,remote,281601
104000,local,155630
104000,remote,456760
104000,local,277223
104000,remote,438738
104000,local,158786
104000,remote,392688
104000,local,145274
104000,remote,364835
104000,local,161811
104000,remote,399981
104000,local,169984
104000,remote,323621
104000,local,167499
104000,remote,443838
104000,local,209899
104000,remote,407890
104000,local,172347
104000,remote,439070
104000,local,160454
104000,remote,379017
104000,local,395684
104000,remote,397441
104000,local,163779
104000,remote,486375
104000,local,161353
104000,remote,390699
104000,local,146942
104000,remote,387338
104000,local,171255
104000,remote,383535
104000,local,6397313
104000,remote,468870
104000,local,160842
104000,remote,357397
104000,local,163428
104000,remote,423403
104000,local,177592
104000,remote,414838
104000,local,184764
104000,remote,418373
104000,local,148593
104000,remote,351362
104000,local,181346
104000,remote,383126
104000,local,154840
104000,remote,439633
104000,local,161081
104000,remote,480617
104000,local,161939
104000,remote,483039
104000,local,156388
104000,remote,346195
104000,local,195457
104000,remote,460994
104000,local,161812
104000,remote,459477
104000,local,156186
104000,remote,381823
104000,local,170258
104000,remote,351017
104000,local,189911
104000,remote,409008
104000,local,151742
104000,remote,364564
104000,local,158867
104000,remote,344167
104000,local,167733
104000,remote,393238
104000,local,157236
104000,remote,355296
104000,local,146194
104000,remote,396911
104000,local,158107
104000,remote,378174
104000,local,166304
104000,remote,415282
104000,local,159593
104000,remote,339491
104000,local,154104
104000,remote,390374
104000,local,180358
104000,remote,422478
104000,local,187432
104000,remote,479391
104000,local,176891
104000,remote,440194
104000,local,164632
104000,remote,364161
104000,local,389224
104000,remote,481083
104000,local,152548
104000,remote,367768
104000,local,179475
104000,remote,399562
104000,local,149897
104000,remote,229333
104000,local,178564
104000,remote,419645
104000,local,1489150
104000,remote,338048
104000,local,155652
104000,remote,413875
104000,local,183599
104000,remote,476452
104000,local,156750
104000,remote,390274
104000,local,168890
104000,remote,429603
104000,local,189810
104000,remote,433756
104000,local,160603
104000,remote,350285
104000,local,186747
104000,remote,321033
104000,local,151994
104000,remote,364843
104000,local,175725
104000,remote,438067
104000,local,188296
104000,remote,557804
104000,local,159297
104000,remote,329860
104000,local,181509
104000,remote,469171
104000,local,163178
104000,remote,326046
104000,local,158376
104000,remote,469107
104000,local,202853
104000,remote,579297
104000,local,175762
104000,remote,416895
104000,local,153488
104000,remote,393594
106000,local,163948
106000,remote,278806
106000,local,371331
106000,remote,493544
106000,local,156025
106000,remote,307969
106000,local,154952
106000,remote,421740
106000,local,182382
106000,remote,503682
106000,local,162261
106000,remote,388944
106000,local,154109
106000,remote,369706
106000,local,169974
106000,remote,310362
106000,local,178373
106000,remote,398850
106000,local,172431
106000,remote,414430
106000,local,171198
106000,remote,362161
106000,local,151432
106000,remote,348954
106000,local,165901
106000,remote,352362
106000,local,178026
106000,remote,258441
106000,local,159786
106000,remote,395970
106000,local,179383
106000,remote,495109
106000,local,237123
106000,remote,361489
106000,local,142959
106000,remote,395598
106000,local,163309
106000,remote,460317
106000,local,175314
106000,remote,426914
106000,local,169124
106000,remote,342291
106000,local,364286
106000,remote,410992
106000,local,168105
106000,remote,135475
106000,local,173579
106000,remote,435300
106000,local,179613
106000,remote,370534
106000,local,148663
106000,remote,413441
106000,local,163183
106000,remote,398987
106000,local,171132
106000,remote,406001
106000,local,185471
106000,remote,457638
106000,local,182872
106000,remote,374260
106000,local,150240
