nbOpes,type,size,nbRenamingBots
20000,rlsWithoutGC,2782094,1
20000,rlsWithGC,2782094,1
20000,content,24584,1
20000,rlsWithoutGC,3473464,1
20000,rlsWithGC,3473464,1
20000,content,24188,1
20000,rlsWithoutGC,3002350,1
20000,rlsWithGC,3002350,1
20000,content,23808,1
20000,rlsWithoutGC,2827396,2
20000,rlsWithGC,2827396,2
20000,content,24076,2
20000,rlsWithoutGC,3623956,2
20000,rlsWithGC,3623956,2
20000,content,24228,2
20000,rlsWithoutGC,3288846,2
20000,rlsWithGC,3288846,2
20000,content,23960,2
20000,rlsWithoutGC,3260244,2
20000,rlsWithGC,3260244,2
20000,content,24196,2
20000,rlsWithoutGC,3421856,2
20000,rlsWithGC,3421856,2
20000,content,24024,2
20000,rlsWithoutGC,2786490,2
20000,rlsWithGC,2786490,2
20000,content,24068,2
20000,rlsWithoutGC,3370518,2
20000,rlsWithGC,3370518,2
20000,content,23884,2
20000,rlsWithoutGC,2755078,2
20000,rlsWithGC,2755078,2
20000,content,23676,2
20000,rlsWithoutGC,3127636,2
20000,rlsWithGC,3127636,2
20000,content,24144,2
20000,rlsWithoutGC,3077772,2
20000,rlsWithGC,3077772,2
20000,content,23924,2
20000,rlsWithoutGC,3638368,2
20000,rlsWithGC,3638368,2
20000,content,24136,2
20000,rlsWithoutGC,2843570,2
20000,rlsWithGC,2843570,2
20000,content,23980,2
20000,rlsWithoutGC,2868890,2
20000,rlsWithGC,2868890,2
20000,content,23956,2
20000,rlsWithoutGC,3390798,2
20000,rlsWithGC,3390798,2
20000,content,24088,2
20000,rlsWithoutGC,2822196,2
20000,rlsWithGC,2822196,2
20000,content,24304,2
20000,rlsWithoutGC,2957322,2
20000,rlsWithGC,2957322,2
20000,content,24060,2
20000,rlsWithoutGC,3732036,2
20000,rlsWithGC,3732036,2
20000,content,23772,2
20000,rlsWithoutGC,3036692,2
20000,rlsWithGC,3036692,2
20000,content,24000,2
20000,rlsWithoutGC,3059146,3
20000,rlsWithGC,3059146,3
20000,content,24168,3
20000,rlsWithoutGC,3221022,3
20000,rlsWithGC,3221022,3
20000,content,24068,3
20000,rlsWithoutGC,3154580,3
20000,rlsWithGC,3154580,3
20000,content,24044,3
20000,rlsWithoutGC,3125448,3
20000,rlsWithGC,3125448,3
20000,content,23952,3
20000,rlsWithoutGC,2931290,3
20000,rlsWithGC,2931290,3
20000,content,24130,3
20000,rlsWithoutGC,2877554,3
20000,rlsWithGC,2877554,3
20000,content,23664,3
20000,rlsWithoutGC,2842166,3
20000,rlsWithGC,2842166,3
20000,content,23996,3
20000,rlsWithoutGC,3348354,3
20000,rlsWithGC,3348354,3
20000,content,24134,3
20000,rlsWithoutGC,3378128,3
20000,rlsWithGC,3378128,3
20000,content,24380,3
20000,rlsWithoutGC,2964138,3
20000,rlsWithGC,2964138,3
20000,content,24168,3
20000,rlsWithoutGC,2908866,3
20000,rlsWithGC,2908866,3
20000,content,24376,3
20000,rlsWithoutGC,3469892,3
20000,rlsWithGC,3469892,3
20000,content,23892,3
20000,rlsWithoutGC,3029410,3
20000,rlsWithGC,3029410,3
20000,content,23852,3
20000,rlsWithoutGC,2939388,3
20000,rlsWithGC,2939388,3
20000,content,24132,3
20000,rlsWithoutGC,2984648,3
20000,rlsWithGC,2984648,3
20000,content,24024,3
20000,rlsWithoutGC,3164206,3
20000,rlsWithGC,3164206,3
20000,content,23628,3
20000,rlsWithoutGC,3516010,3
20000,rlsWithGC,3516010,3
20000,content,23992,3
20000,rlsWithoutGC,3340228,3
20000,rlsWithGC,3340228,3
20000,content,23580,3
20000,rlsWithoutGC,3012598,4
20000,rlsWithGC,3012598,4
20000,content,23892,4
20000,rlsWithoutGC,3962084,4
20000,rlsWithGC,3962084,4
20000,content,23968,4
20000,rlsWithoutGC,3472544,4
20000,rlsWithGC,3472544,4
20000,content,24414,4
20000,rlsWithoutGC,2917014,4
20000,rlsWithGC,2917014,4
20000,content,23608,4
20000,rlsWithoutGC,2898408,4
20000,rlsWithGC,2898408,4
20000,content,23512,4
20000,rlsWithoutGC,3051606,4
20000,rlsWithGC,3051606,4
20000,content,23760,4
20000,rlsWithoutGC,2862726,4
20000,rlsWithGC,2862726,4
20000,content,24024,4
20000,rlsWithoutGC,3098874,4
20000,rlsWithGC,3098874,4
20000,content,23968,4
20000,rlsWithoutGC,3002230,4
20000,rlsWithGC,3002230,4
20000,content,23896,4
20000,rlsWithoutGC,3615934,4
20000,rlsWithGC,3615934,4
20000,content,24168,4
20000,rlsWithoutGC,3397110,4
20000,rlsWithGC,3397110,4
20000,content,24300,4
20000,rlsWithoutGC,3194764,4
20000,rlsWithGC,3194764,4
20000,content,24204,4
20000,rlsWithoutGC,2712650,4
20000,rlsWithGC,2712650,4
20000,content,23964,4
20000,rlsWithoutGC,3430768,4
20000,rlsWithGC,3430768,4
20000,content,23856,4
20000,rlsWithoutGC,3510914,4
20000,rlsWithGC,3510914,4
20000,content,23764,4
20000,rlsWithoutGC,3051766,4
20000,rlsWithGC,3051766,4
20000,content,24472,4
20000,rlsWithoutGC,2864938,4
20000,rlsWithGC,2864938,4
20000,content,23968,4
20000,rlsWithoutGC,3141930,4
20000,rlsWithGC,3141930,4
20000,content,23800,4
20000,rlsWithoutGC,3390548,4
20000,rlsWithGC,3390548,4
20000,content,23900,4
20000,rlsWithoutGC,3181298,4
20000,rlsWithGC,3181298,4
20000,content,24336,4
20000,rlsWithoutGC,3757142,4
20000,rlsWithGC,3757142,4
20000,content,24300,4
30000,ls,4337786,1
30000,content,35836,1
30000,ls,4337786,2
30000,content,35836,2
30000,ls,4337786,3
30000,content,35836,3
30000,ls,4337786,4
30000,content,35836,4
30000,ls,5123264,1
30000,content,36012,1
30000,ls,5123264,2
30000,content,36012,2
30000,ls,5123264,3
30000,content,36012,3
30000,ls,5123264,4
30000,content,36012,4
30000,ls,5360984,1
30000,content,36132,1
30000,ls,5360984,2
30000,content,36132,2
30000,ls,5360984,3
30000,content,36132,3
30000,ls,5360984,4
30000,content,36132,4
30000,ls,5090632,1
30000,content,35744,1
30000,ls,5090632,2
30000,content,35744,2
30000,ls,5090632,3
30000,content,35744,3
30000,ls,5090632,4
30000,content,35744,4
30000,ls,5118326,1
30000,content,36088,1
30000,ls,5118326,2
30000,content,36088,2
30000,ls,5118326,3
30000,content,36088,3
30000,ls,5118326,4
30000,content,36088,4
30000,ls,4839594,1
30000,content,35948,1
30000,ls,4839594,2
30000,content,35948,2
30000,ls,4839594,3
30000,content,35948,3
30000,ls,4839594,4
30000,content,35948,4
30000,ls,4385398,1
30000,content,36208,1
30000,ls,4385398,2
30000,content,36208,2
30000,ls,4385398,3
30000,content,36208,3
30000,ls,4385398,4
30000,content,36208,4
30000,ls,4151776,1
30000,content,36512,1
30000,ls,4151776,2
30000,content,36512,2
30000,ls,4151776,3
30000,content,36512,3
30000,ls,4151776,4
30000,content,36512,4
30000,ls,4908128,1
30000,content,36156,1
30000,ls,4908128,2
30000,content,36156,2
30000,ls,4908128,3
30000,content,36156,3
30000,ls,4908128,4
30000,content,36156,4
30000,ls,5165286,1
30000,content,35588,1
30000,ls,5165286,2
30000,content,35588,2
30000,ls,5165286,3
